Feature,Count,% Miss,Card.,Mode,Mode Freq.,Mode %,2nd Mode,2nd Mode Freq,2nd Mode %
weight,101766,96.85847925633315,10,[75-100),1336,1.312815675176385,[50-75),897,0.88
max_glu_serum,101766,94.74677200636755,4,Norm,2597,2.5519328655936167,>200,1485,1.46
A1Cresult,101766,83.27732248491637,4,>8,8216,8.073423343749386,Norm,4990,4.90
medical_specialty,101766,49.08220820313268,73,InternalMedicine,14635,14.381030992669459,Emergency/Trauma,7565,7.43
payer_code,101766,39.5574160328597,18,MC,32439,31.87606862802901,HM,6274,6.17
race,101766,2.2335554114340743,6,Caucasian,76099,74.77841322249081,AfricanAmerican,19210,18.88
diag_3,101766,1.398305917497003,790,250,11555,11.354479885226892,401,8289,8.15
diag_2,101766,0.3517874339170253,749,276,6752,6.634828921250713,428,6662,6.55
diag_1,101766,0.02063557573256294,717,428,6862,6.742920032230804,414,6581,6.47
gender,101766,0.002947939390366134,3,Female,54708,53.75862272271682,Male,47055,46.24
metformin-rosiglitazone,101766,0.0,2,No,101764,99.99803470707309,Steady,2,0.00
insulin,101766,0.0,4,No,47383,46.56073737790617,Steady,30849,30.31
troglitazone,101766,0.0,2,No,101763,99.99705206060963,Steady,3,0.00
tolazamide,101766,0.0,3,No,101727,99.96167678792524,Steady,38,0.04
examide,101766,0.0,1,No,101766,100.0,na,na,na
citoglipton,101766,0.0,1,No,101766,100.0,na,na,na
glipizide-metformin,101766,0.0,2,No,101753,99.98722559597508,Steady,13,0.01
glyburide-metformin,101766,0.0,4,No,101060,99.3062515968005,Steady,692,0.68
metformin-pioglitazone,101766,0.0,2,No,101765,99.99901735353654,Steady,1,0.00
glimepiride-pioglitazone,101766,0.0,2,No,101765,99.99901735353654,Steady,1,0.00
diabetesMed,101766,0.0,2,Yes,78363,77.0031248157538,No,23403,23.00
acarbose,101766,0.0,4,No,101458,99.69734488925575,Steady,295,0.29
change,101766,0.0,2,No,54755,53.80480710649922,Ch,47011,46.20
miglitol,101766,0.0,4,No,101728,99.9626594343887,Steady,31,0.03
glipizide,101766,0.0,4,No,89080,87.53414696460507,Steady,11356,11.16
rosiglitazone,101766,0.0,4,No,95401,93.74545526010651,Steady,6100,5.99
pioglitazone,101766,0.0,4,No,94438,92.79916671579899,Steady,6976,6.85
tolbutamide,101766,0.0,2,No,101743,99.97739913134053,Steady,23,0.02
glyburide,101766,0.0,4,No,91116,89.53481516420023,Steady,9274,9.11
acetohexamide,101766,0.0,2,No,101765,99.99901735353654,Steady,1,0.00
glimepiride,101766,0.0,4,No,96575,94.89908220820314,Steady,4670,4.59
chlorpropamide,101766,0.0,4,No,101680,99.91549240414284,Steady,79,0.08
nateglinide,101766,0.0,4,No,101063,99.30919953619087,Steady,668,0.66
repaglinide,101766,0.0,4,No,100227,98.48770709274217,Steady,1384,1.36
metformin,101766,0.0,4,No,81778,80.35886248845391,Steady,18346,18.03
admission_source_id,101766,0.0,17,7,57494,56.496275769903505,1,29565,29.05
discharge_disposition_id,101766,0.0,26,1,60234,59.18872707977124,3,13954,13.71
admission_type_id,101766,0.0,8,1,53990,53.053082561955854,3,18869,18.54
age,101766,0.0,10,[70-80),26068,25.615628009354797,[60-70),22483,22.09
readmitted,101766,0.0,3,NO,54864,53.911915571015854,>30,35545,34.93
