,count,mean,std,min,25%,50%,75%,max
encounter_id,101766.0,165201645.6229782,102640295.98345767,12522.0,84961194.0,152388987.0,230270887.5,443867222.0
patient_nbr,101766.0,54330400.694947235,38696359.34653435,135.0,23413221.0,45505143.0,87545949.75,189502619.0
time_in_hospital,101766.0,4.395986871843248,2.9851077674705677,1.0,2.0,4.0,6.0,14.0
num_lab_procedures,101766.0,43.09564098028811,19.67436224914256,1.0,31.0,44.0,57.0,132.0
num_procedures,101766.0,1.339730361810428,1.7058069791209631,0.0,0.0,1.0,2.0,6.0
num_medications,101766.0,16.021844230882614,8.127566209166169,1.0,10.0,15.0,20.0,81.0
number_outpatient,101766.0,0.36935715268360747,1.2672650965325358,0.0,0.0,0.0,0.0,42.0
number_emergency,101766.0,0.19783621248747127,0.9304722684223071,0.0,0.0,0.0,0.0,76.0
number_inpatient,101766.0,0.635565906098304,1.2628632900971597,0.0,0.0,0.0,1.0,21.0
number_diagnoses,101766.0,7.422606764538254,1.9336001449978366,1.0,6.0,8.0,9.0,16.0
